School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Activity Type,Fiscal Year,Mapped Location
Homeschool,Home Schooled,,,TN,,19,Basic Operating,Cheekwood,In-School,FY17,"TN
(35.842998, -86.343226)"
Goodlettsville Elementary School,MNPS,514 Donald Avenue,Goodlettsville,TN,37072,226,Basic Operating,Nashville Children's Theatre,,FY16,
Homeschool,Home Schooled,,,TN,,1218,Basic Operating,Nashville Symphony,,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Music City Youth Orchestra,Out of School,FY17,"TN
(35.842998, -86.343226)"
Gra-Mar Middle Prep,MNPS,575 Joyce Lane,Nashville,TN,37216,8,Basic Operating,Southern Word,,FY16,"575 Joyce Lane
Nashville, TN 37216
(36.232399, -86.745515)"
Homeschool,Home Schooled,,,TN,,194,Basic Operating,The Nashville Shakespeare Festival,,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,200,Basic Operating,Country Music Foundation,In-School,FY17,"TN
(35.842998, -86.343226)"
Hillsboro High School,MNPS,3812 Hillsboro Pike,Nashville,TN,37215,1,Basic Operating,Choral Arts Link,,FY16,"3812 Hillsboro Pike
Nashville, TN 37215
(36.107472, -86.812867)"
NIA House Montessori,Private,620 North 1st Street,Nashville,TN,37207,40,Basic Operating,Nashville Ballet,In-School,FY17,
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,16,Basic Operating,Nashville Ballet,,FY16,
Rosebank STEM School,MNPS,1012 Preston Drive,Nashville,TN,37206,213,Basic Operating,Nashville Children's Theatre,In-School,FY17,"1012 Preston Drive
Nashville, TN 37206
(36.184389, -86.717303)"
Madison Middle Prep,MNPS,300 West Old Hickory Blvd,Madison,TN,37115,25,After-School Arts,PENCIL Foundation,Out of School,FY16,"300 West Old Hickory Blvd
Madison, TN 37115
(36.263489, -86.716018)"
Homeschool,Home Schooled,,,TN,,25,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,599,Basic Operating,Cheekwood Botanical Garden and Museum of Art,,FY16,"TN
(35.842998, -86.343226)"
Susan Gray School,Private,110 Magnolia Circle,Nashville,TN,37203,5,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,
Homeschool,Home Schooled,,,TN,,52,Basic Operating,Global Education Center,Out of School,FY17,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,200,Basic Operating,"Country Music Foundation, Inc.",,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home schooled,,,TN,,8,Arts Access,Global Education Center,Out of School,FY17,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,1000,Basic Operating,Nashville Symphony,In-School,FY17,"TN
(35.842998, -86.343226)"
NIA House Montessori,Private,620 North 1st Street,Nashville,TN,37207,12,Arts Access,Nashville Ballet,In-School,FY17,
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,524,Basic Operating,Nashville Children's Theatre,In-School,FY17,
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,54,Basic Operating,Tennessee Performing Arts Center,,FY16,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Westmeade Elementary School,MNPS,6641 Clearbrook Drive,Nashville,TN,37205,600,Basic Operating,Global Education Center,In-School,FY17,"6641 Clearbrook Drive
Nashville, TN 37205
(36.091787, -86.894436)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,1,Basic Operating,Choral Arts Link,,FY16,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Metro Christian Academy,Private,322 East Cedar Street,Goodlettsville,TN,37072,56,Basic Operating,Nashville Children's Theatre,,FY16,"322 East Cedar Street
Goodlettsville, TN 37072
(36.326396, -86.704681)"
Nashville Christian School,Private,7555 Sawyer Brown Road,Nashville,TN,37221,60,Basic Operating,Nashville Symphony,In-School,FY17,"7555 Sawyer Brown Road
Nashville, TN 37221
(36.106683, -86.930689)"
Homeschool,Home Schooled,,,TN,,26,Basic Operating,W.O. Smith Music School,Out of School,FY16,"TN
(35.842998, -86.343226)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,3,Basic Operating,W.O. Smith Music School,Out of School,FY16,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Homeschool,Home Schooled,,,TN,,453,Basic Operating,Tennessee Performing Arts Center,,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,13,Arts Access,Tennessee Performing Arts Center,,FY16,"TN
(35.842998, -86.343226)"
Overbrook School,Private,4210 Harding Pike,Nashville,TN,37205,1,Basic Operating,Choral Arts Link,,FY16,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
TSU Early Learning Center,Pre-K/ELC,3500 Dr D.B. Todd Jr. Blvd,Nashville,TN,37209,23,Arts Access,Nashville Ballet,In-School,FY17,
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,20,Arts Access,Nashville Ballet,In-School,FY17,
Homeschool,Home Schooled,,,TN,,2,After-School Arts,Tennessee Women's Theater Project,Out of School,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,2654,Basic Operating,Nashville Children's Theatre,,FY16,"TN
(35.842998, -86.343226)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,458,Basic Operating,Country Music Foundation,,FY16,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
Waverly Belmont Elementary School,MNPS,2301 10th Avenue South,Nashville,TN,37204,199,Basic Operating,Nashville Children's Theatre,In-School,FY17,"2301 10th Avenue South
Nashville, TN 37204
(36.126411, -86.786249)"
Martin Luther King Jr. Magnet High School,MNPS,613 17th Avenue North,Nashville,TN,37203,6,Basic Operating,Choral Arts Link,,FY16,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
Harpeth Hall School,Private,3801 Hobbs Road,Nashville,TN,37215,119,Basic Operating,Southern Word,In-School,FY17,"3801 Hobbs Road
Nashville, TN 37215
(36.103441, -86.840497)"
Ivanetta H. Davis Early Learning Center,Pre-K/ELC,1910 South Hamilton Road,Nashville,TN,37218,80,Basic Operating,Nashville Ballet,,FY16,"1910 South Hamilton Road
Nashville, TN 37218
(36.191753, -86.832991)"
Casa Azafran Early Learning Center,Pre-K/ELC,2195 Nolensville Pike,Nashville,TN,37211,6,Arts Access,Global Education Center,Out of School,FY17,"2195 Nolensville Pike
Nashville, TN 37211
(36.126647, -86.753004)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,50,Creation,OZ Arts,In-School,FY17,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,688,Basic Operating,Nashville Children's Theatre,,FY16,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Davidson Academy,Private,1414 Old Hickory Blvd,Nashville,TN,37207,73,Basic Operating,Tennessee Performing Arts Center,,FY16,"1414 Old Hickory Blvd
Nashville, TN 37207
(36.279632, -86.779502)"
Alex Green Elementary School,MNPS,3921 Lloyd Road,Nashville,TN,37205,1,Basic Operating,Choral Arts Link,,FY16,
Homeschool,Home Schooled,,,TN,,20,Basic Operating,Chinese Arts Alliance of Nashville,,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,9,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Nashville Jazz Workshop,Out of School,FY16,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,102,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"TN
(35.842998, -86.343226)"
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Music City Youth Orchestra,Out of School,FY17,"TN
(35.842998, -86.343226)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,875,Basic Operating,Southern Word,,FY16,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
KIPP Nashville College Prep,MNPS,3410 Knight Drive,Nashville,TN,37207,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,
Homeschool,Home Schooled,,,TN,,20,Arts Access,"Native American Indian Association of TN, Inc.",,FY16,"TN
(35.842998, -86.343226)"
May Werthan Shayne Elementary School,MNPS,6217 Nolensville Pike,Nashville,TN,37211,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"6217 Nolensville Pike
Nashville, TN 37211
(36.020211, -86.710266)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,49,After-School Arts,Nashville Children's Theatre,Out of School,FY17,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
Lockeland Design Center Elementary,MNPS,105 South 17th Street,Nashville,TN,37206,340,Basic Operating,Nashville Ballet,,FY16,"105 South 17th Street
Nashville, TN 37206
(36.176312, -86.739761)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,63,Basic Operating,Nashville Children's Theatre,,FY16,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
Charlotte Park Elementary School,MNPS,480 Annex Avenue,Nashville,TN,37209,1,Basic Operating,Choral Arts Link,Out of School,FY17,"480 Annex Avenue
Nashville, TN 37209
(36.15212, -86.88324)"
Donelson Middle Prep,MNPS,110 Stewarts Ferry Pike,Nashville,TN,37214,110,Basic Operating,Nashville Children's Theatre,In-School,FY17,"110 Stewarts Ferry Pike
Nashville, TN 37214
(36.167, -86.655671)"
New Vision Academy,Private,297 Plus Park Blvd,Nashville,TN,37217,20,Basic Operating,Southern Word,,FY16,"297 Plus Park Blvd
Nashville, TN 37217
(36.127184, -86.725)"
Cane Ridge Elementary,MNPS,3884 Asheford Trace,Antioch,TN,37013,1,Basic Operating,Choral Arts Link,,FY16,"3884 Asheford Trace
Antioch, TN 37013
(36.04045, -86.619964)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,352,Basic Operating,Nashville Opera Association,,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Glengarry Elementary School,MNPS,200 Finley Drive,Nashville,TN,37217,40,Basic Operating,Nashville Ballet,,FY16,"200 Finley Drive
Nashville, TN 37217
(36.110136, -86.7059)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,29,Basic Operating,Nashville Symphony,In-School,FY17,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Abintra Montessori School,Private,914 Davidson Drive,Antioch,TN,37205,12,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"914 Davidson Drive
Antioch, TN 37205
(36.118209, -86.899237)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,1,Basic Operating,Nashville Jazz Workshop,Out of School,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,184,Arts Access,Southern Word,In-School,FY17,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Ross Early Learning Center,Pre-K/ELC,601 McFerrin Avenue,Nashville,TN,37206,100,Basic Operating,Country Music Foundation,In-School,FY17,"601 McFerrin Avenue
Nashville, TN 37206
(36.180252, -86.755042)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,82,Basic Operating,Country Music Foundation,,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
F.H. Jenkins Preparatory School,Private,814 Youngs Lane,Nashville,TN,37207,50,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"814 Youngs Lane
Nashville, TN 37207
(36.204759, -86.799082)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,196,Basic Operating,Southern Word,,FY16,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,21,Basic Operating,Cheekwood,In-School,FY17,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Davidson County Juvenile Detention Center,Other,100 Woodland Street,Nashville,TN,37213,32,Basic Operating,Global Education Center,In-School,FY17,"100 Woodland Street
Nashville, TN 37213
(36.169287, -86.771566)"
Mt. View Elementary School,MNPS,3820 Murfreesboro Road,Antioch,TN,37013,50,Arts Access,"Native American Indian Association of TN, Inc.",,FY16,"3820 Murfreesboro Road
Antioch, TN 37013
(36.040653, -86.604368)"
St. Paul Christian Academy,Private,5035 Hillsboro Pike,Nashville,TN,37215,155,Basic Operating,Nashville Symphony,In-School,FY17,"5035 Hillsboro Pike
Nashville, TN 37215
(36.096962, -86.824113)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,140,After-School Arts,Tennessee Performing Arts Center,Out of School,FY16,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Dudley Head Start,Pre-K/ELC,1203 3rd Avenue South,Nashville,TN,37210,320,Basic Operating,Tennessee Performing Arts Center,,FY16,"1203 3rd Avenue South
Nashville, TN 37210
(36.145101, -86.765525)"
McNeilly Center for Children,Pre-K/ELC,100 Meridian Street,Nashville,TN,37207,105,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"100 Meridian Street
Nashville, TN 37207
(36.178956, -86.770246)"
Glendale Elementary School,MNPS,800 Thompson Avenue,Nashville,TN,37204,425,Basic Operating,Nashville Opera,In-School,FY17,"800 Thompson Avenue
Nashville, TN 37204
(36.09517, -86.784848)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,34,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,200,Creation,OZ Arts,In-School,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Head Magnet Middle Prep,MNPS,1830 Jo Johnson Avenue,Nashville,TN,37203,80,Basic Operating,Tennessee Performing Arts Center,,FY16,"1830 Jo Johnson Avenue
Nashville, TN 37203
(36.159251, -86.803381)"
Percy Priest Elementary School,MNPS,1700 Otter Creek Road,Nashville,TN,37215,3,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"1700 Otter Creek Road
Nashville, TN 37215
(36.061273, -86.833745)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,17,Basic Operating,Southern Word,Out of School,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Neely's Bend College Prep,MNPS,1251 Neelys Bend Road,Madison,TN,37115,5,Basic Operating,W.O. Smith Music School,Out of School,FY16,"1251 Neelys Bend Road
Madison, TN 37115
(36.240212, -86.672786)"
Cane Ridge High School,MNPS,12848 Old Hickory Boulevard,Antioch,TN,37013,28,Basic Operating,Tennessee Performing Arts Center,,FY16,"12848 Old Hickory Boulevard
Antioch, TN 37013
(36.026553, -86.615508)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,12,Basic Operating,Frist Center for the Visual Arts,,FY16,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Donelson Middle Prep,MNPS,110 Stewarts Ferry Pike,Nashville,TN,37214,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"110 Stewarts Ferry Pike
Nashville, TN 37214
(36.167, -86.655671)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,5,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Ensworth School,Private,211 Ensworth Avenue,Nashville,TN,37205,86,Basic Operating,Country Music Foundation,,FY16,"211 Ensworth Avenue
Nashville, TN 37205
(36.12555, -86.84001)"
Westminster School for Young Children,Pre-K/ELC,3900 West End Avenue,Nashville,TN,37205,90,Basic Operating,Nashville Children's Theatre,,FY16,"3900 West End Avenue
Nashville, TN 37205
(36.131513, -86.834049)"
Chadwell Elementary School,MNPS,321 Port Drive,Nashville,TN,37115,88,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"321 Port Drive
Nashville, TN 37115
(36.256975, -86.741981)"
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,16,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,5,Arts Access,"East Nashville Hope Exchange, Inc.",Out of School,FY16,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
Fall-Hamilton Advanced Option School,MNPS,510 Wedgewood Avenue,Nashville,TN,37207,186,Basic Operating,Global Education Center,,FY16,"510 Wedgewood Avenue
Nashville, TN 37207
(36.133001, -86.76601)"
Fall-Hamilton Advanced Option School,MNPS,510 Wedgewood Avenue,Nashville,TN,37203,84,Basic Operating,Global Education Center,Out of School,FY17,"510 Wedgewood Avenue
Nashville, TN 37203
(36.133001, -86.76601)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,353,Basic Operating,Nashville Children's Theatre,,FY16,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Granbery Elementary School,MNPS,5501 Hill Road,Brentwood,TN,37027,756,Basic Operating,Nashville Opera,In-School,FY17,"5501 Hill Road
Brentwood, TN 37027
(36.047628, -86.752404)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,93,Basic Operating,Nashville Children's Theatre,In-School,FY17,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Richland Head Start,Pre-K/ELC,5900 Charlotte Pike,Nashville,TN,37209,200,Basic Operating,Tennessee Performing Arts Center,,FY16,"5900 Charlotte Pike
Nashville, TN 37209
(36.149043, -86.863323)"
Jonathan Edwards Classical Academy,Private,4479 Jackson Road,Whites Creek,TN,37189,97,Basic Operating,Nashville Symphony,,FY16,"4479 Jackson Road
Whites Creek, TN 37189
(36.297448, -86.774329)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,45,Arts Access,Nashville Children's Theatre,,FY16,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,180,Basic Operating,Nashville Symphony,In-School,FY17,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Haywood Elementary School,MNPS,3790 Turley Drive,Nashville,TN,37211,892,Basic Operating,Nashville Children's Theatre,,FY16,"3790 Turley Drive
Nashville, TN 37211
(36.074335, -86.708684)"
La Petite Academy,Pre-K/ELC,100 Matterhorn Drive,Nashville,TN,37138,50,Arts Access,Nashville Ballet,In-School,FY17,"100 Matterhorn Drive
Nashville, TN 37138
(36.218252, -86.58382)"
St. Pius X Classical Academy,Private,2750 Tucker Road,Nashville,TN,37218,15,Arts Access,"Belcourt Theatre, Inc",Out of School,FY16,"2750 Tucker Road
Nashville, TN 37218
(36.209308, -86.823372)"
Akiva School,Private,809 Percy Warner Blvd,Nashville,TN,37205,45,Basic Operating,Nashville Symphony,,FY16,"809 Percy Warner Blvd
Nashville, TN 37205
(36.083553, -86.889891)"
Nashville Academy of Computer Science,MNPS,3230 Brick Church Pike,Nashville,TN,37207,3,Basic Operating,W.O. Smith Music School,Out of School,FY16,"3230 Brick Church Pike
Nashville, TN 37207
(36.234841, -86.781291)"
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,34,Basic Operating,Country Music Foundation,,FY16,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Thomas A. Edison Elementary School,MNPS,6130 Mt. View Road,Antioch,TN,37013,2,Basic Operating,Choral Arts Link,Out of School,FY17,"6130 Mt. View Road
Antioch, TN 37013
(36.063319, -86.607009)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,290,Basic Operating,Country Music Foundation,,FY16,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,270,Basic Operating,Southern Word,,FY16,"4820 Franklin Road
Nashville, TN 37220
(36.080138, -86.772727)"
Kirkpatrick Elementary Enhanced Option School,MNPS,1000 Sevier Street,Nashville,TN,37206,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,300,Arts Access,Chinese Arts Alliance of Nashville,Out of School,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,2,Basic Operating,W.O. Smith Music School,Out of School,FY16,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,30,Basic Operating,Tennessee Performing Arts Center,Out of School,FY17,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Amqui Elementary School,MNPS,319 Anderson Lane,Madison,TN,37115,227,Basic Operating,Nashville Children's Theatre,,FY16,"319 Anderson Lane
Madison, TN 37115
(36.273163, -86.703988)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,56,Basic Operating,Country Music Foundation,,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Apollo Middle Prep,MNPS,631 Richards Road,Antioch,TN,37013,17,After-School Arts,Center for Refugees and Immigrants of Tennessee,Out of School,FY16,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,4,Basic Operating,Nashville Jazz Workshop,Out of School,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
RePublic High School,MNPS,3307 Brick Church Pike,Nashville,TN,37207,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"3307 Brick Church Pike
Nashville, TN 37207
(36.241905, -86.780543)"
Explore! Community School,MNPS,217 South 10th Street,Nashville,TN,37206,100,Basic Operating,Nashville Opera Association,,FY16,"217 South 10th Street
Nashville, TN 37206
(36.174536, -86.751919)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,78,Basic Operating,Country Music Foundation,In-School,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Amqui Elementary School,MNPS,319 Anderson Lane,Madison,TN,37115,2,Arts Access,East Nashville Hope Exchange,Out of School,FY17,"319 Anderson Lane
Madison, TN 37115
(36.273163, -86.703988)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,75,Arts Access,Nashville Ballet,Out of School,FY17,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Pennington Elementary School,MNPS,2817 Donna Hill Drive,Nashville,TN,37214,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"2817 Donna Hill Drive
Nashville, TN 37214
(36.20299, -86.681867)"
Cora Howe School,MNPS,1928 Greenwood Avenue,Nashville,TN,37206,17,Basic Operating,Nashville Children's Theatre,,FY16,"1928 Greenwood Avenue
Nashville, TN 37206
(36.189276, -86.734801)"
Buena Vista Enhanced Option Elementary School,MNPS,1531 9th Avenue North,Nashville,TN,37208,1,Basic Operating,"Watkins College of Art, Design, and Film",Out of School,FY17,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
H.G. Hill Middle Prep,MNPS,150 Davidson Road,Nashville,TN,37205,36,Basic Operating,Tennessee Performing Arts Center,,FY16,"150 Davidson Road
Nashville, TN 37205
(36.115731, -86.865743)"
River Road Academy,Private,8283 River Road Pike,Nashville,TN,37209,11,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"8283 River Road Pike
Nashville, TN 37209
(36.197183, -86.969686)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,120,Basic Operating,Nashville Ballet,In-School,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Hunters Lane High School,MNPS,1150 Hunters Lane,Nashville,TN,37207,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1150 Hunters Lane
Nashville, TN 37207
(36.277943, -86.753492)"
